[00:01:32 -> 00:01:32]  It's coming back.
[00:01:33 -> 00:01:34]  Act two, it's coming back.
[00:01:37 -> 00:05:58]  I'm down.
[00:10:59 -> 00:11:25]  You want me to turn you into the dad?
[00:11:26 -> 00:11:26]  Into your dad?
[00:11:33 -> 00:11:34]  Wait, wait.
[00:11:34 -> 00:11:37]  I need to clarify some things.
[00:11:38 -> 00:11:39]  Are you broke,
[00:11:40 -> 00:11:40]  Witty?
[00:11:40 -> 00:11:50]  Oh my god.
[00:11:51 -> 00:11:52]  You're a MAGA Republican?
[00:11:52 -> 00:12:08]  How am I going to get paid
[00:12:08 -> 00:12:09]  if you don't have any money?
[00:12:19 -> 00:12:20]  Okay, okay, okay.
[00:12:21 -> 00:12:24]  Do you have a picture or something?
[00:12:24 -> 00:12:25]  Can you describe him to me?
[00:12:47 -> 00:12:47]  Nice.
[00:13:46 -> 00:13:47]  Okay.
[00:13:47 -> 00:13:48]  Yeah, perfect.
[00:13:49 -> 00:13:50]  Can I cast
[00:13:50 -> 00:13:51]  Disguise Self?
[00:14:11 -> 00:14:12]  This is so interesting.
[00:14:13 -> 00:14:14]  Oh, shit.
[00:14:34 -> 00:14:34]  Yeah.
[00:14:40 -> 00:14:40]  Yeah.
[00:15:01 -> 00:15:04]  Okay, Din has just, like, nailed it.
[00:15:05 -> 00:15:07]  Wait, what's this guy's name again,
[00:15:08 -> 00:15:08]  Witty?
[00:15:09 -> 00:15:10]  Lord Whitman?
[00:15:15 -> 00:15:15]  Okay.
[00:15:16 -> 00:15:23]  What is his first name?
[00:15:23 -> 00:15:37]  I'm the second?
[00:15:46 -> 00:15:46]  Okay.
[00:15:46 -> 00:15:47]  What do you think?
[00:16:31 -> 00:16:32]  I know, it's so interesting.
[00:16:32 -> 00:16:32]  Witty,
[00:16:33 -> 00:16:36]  help me pinpoint
[00:16:36 -> 00:16:38]  this guy's voice.
[00:16:38 -> 00:16:40]  What is he? Kind of like a gruff
[00:16:40 -> 00:16:42]  figure or...
[00:16:42 -> 00:16:48]  Pirate Baron.
[00:16:48 -> 00:16:48]  Okay.
[00:16:55 -> 00:17:08]  Oh, yeah.
[00:17:13 -> 00:17:14]  Classic. Okay.
[00:17:15 -> 00:17:17]  I'm kind of getting, like, a little Wario
[00:17:17 -> 00:17:17]  vibes.
[00:17:27 -> 00:17:28]  Wow.
[00:17:28 -> 00:17:29]  Okay. Let's do it.
[00:17:30 -> 00:17:31]  I'm ready.
[00:17:31 -> 00:17:33]  Din is overconfident,
[00:17:33 -> 00:17:34]  if anything.
[00:17:39 -> 00:17:39]  Yes.
[00:17:41 -> 00:17:43]  Come, Witty.
[00:17:45 -> 00:17:46]  Tally on with me.
[00:18:00 -> 00:18:01]  I
[00:18:01 -> 00:18:05]  walk...
[00:18:05 -> 00:18:12]  Okay, yeah, we did it in an alley, then.
[00:18:12 -> 00:18:12]  Bye.
[00:18:14 -> 00:18:14]  Okay.
[00:18:15 -> 00:18:17]  We're walking right in, okay?
[00:18:17 -> 00:18:19]  Okay, picture this.
[00:18:19 -> 00:18:20]  Okay, we're walking right in,
[00:18:20 -> 00:18:23]  and we're not even gonna stand in line, okay?
[00:18:23 -> 00:18:25]  We're just gonna go straight up to the front of the line
[00:18:25 -> 00:18:26]  if it even existed.
[00:18:26 -> 00:18:28]  Going to the same guy, okay?
[00:18:29 -> 00:18:31]  I'm going, I'm pushing people
[00:18:31 -> 00:18:33]  aside, if it's necessary.
[00:18:37 -> 00:18:38]  Why, yes, this is
[00:18:38 -> 00:18:40]  Lord Whitman,
[00:18:40 -> 00:18:41]  and I'm here with my
[00:18:41 -> 00:18:43]  youngest, most
[00:18:43 -> 00:18:45]  unaccomplished son here.
[00:18:46 -> 00:19:18]  Hooligans, I always call them.
[00:19:18 -> 00:19:18]  Hooligans.
[00:19:24 -> 00:19:25]  Those rich rats.
[00:19:31 -> 00:19:43]  Okay. I'm sorry, did you send me...
[00:19:44 -> 00:19:44]  What?
[00:19:48 -> 00:19:49]  Oh.
[00:19:50 -> 00:19:51]  Okay, okay, okay.
[00:20:05 -> 00:20:12]  Oh. Okay.
[00:20:16 -> 00:20:17]  Let me, like, write a story.
[00:20:19 -> 00:20:30]  If that makes sense.
[00:21:18 -> 00:21:20]  Don't give away my secret
[00:21:20 -> 00:21:21]  there, young lass.
[00:21:53 -> 00:21:56]  My property in this city,
[00:21:56 -> 00:21:56]  is that what you're saying?
[00:21:59 -> 00:22:00]  Oh, sure, yeah, no problem.
[00:22:22 -> 00:22:26]  What, what, what, what's the payment terms?
[00:22:35 -> 00:22:36]  Well, uh,
[00:22:38 -> 00:22:38]  ma'am,
[00:22:40 -> 00:22:41]  can you,
[00:22:41 -> 00:22:44]  can you see my account?
[00:22:45 -> 00:22:46]  Can you see my account
[00:22:46 -> 00:22:47]  in your system?
[00:23:14 -> 00:23:37]  Yes, yes,
[00:23:37 -> 00:23:39]  we'll handle it
[00:23:39 -> 00:24:16]  in the coming...
[00:24:16 -> 00:24:17]  That's my boy.
[00:24:49 -> 00:25:15]  I mean, surely
[00:25:15 -> 00:25:17]  my meager property
[00:25:18 -> 00:25:20]  here in the city
[00:25:20 -> 00:25:22]  is worth significantly more than
[00:25:22 -> 00:25:23]  1,000 gold.
[00:25:53 -> 00:26:00]  Okay.
[00:26:00 -> 00:26:02]  This should be enough for now.
[00:26:02 -> 00:26:03]  We'll get the rest of it handled
[00:26:03 -> 00:26:05]  in the future.
[00:26:11 -> 00:26:14]  Okay, I start signing them
[00:26:14 -> 00:26:16]  in very bad
[00:26:16 -> 00:26:16]  handwriting.
[00:26:28 -> 00:26:48]  I pocket the gold.
[00:26:54 -> 00:26:55]  Okay, I put it in my
[00:26:55 -> 00:26:57]  in my bag.
[00:26:59 -> 00:27:10]  Amazing.
[00:27:11 -> 00:27:11]  Good day.
[00:27:12 -> 00:27:13]  Come along, Witty.
[00:27:16 -> 00:27:18]  I have the gold, and we shall
[00:27:18 -> 00:27:19]  distribute it later.
[00:27:26 -> 00:27:28]  Okay, are we out of the bank?
[00:27:29 -> 00:27:29]  Yeah.
[00:27:35 -> 00:27:36]  Alright, Witty,
[00:27:36 -> 00:27:37]  like, uh,
[00:27:38 -> 00:27:39]  there's probably something we should put a pin in
[00:27:39 -> 00:27:42]  to figure out how, or else you're gonna lose your house.
[00:27:51 -> 00:27:53]  How would your dad
[00:27:53 -> 00:27:54]  know about this situation?
[00:27:55 -> 00:27:56]  Can you contact him at some point?
[00:28:00 -> 00:28:00]  Sure, okay, yeah.
[00:28:01 -> 00:28:01]  Okay, okay.
[00:28:08 -> 00:28:09]  That's alright.
[00:28:22 -> 00:28:24]  That's okay. Why don't I hold on to this
[00:28:24 -> 00:28:26]  gold, um, for the
[00:28:26 -> 00:28:28]  foreseeable future, um,
[00:28:28 -> 00:28:30]  and then, um, we'll
[00:28:30 -> 00:28:32]  try to figure out what we need to do with it later.
[00:28:35 -> 00:28:38]  I love it.
[00:28:39 -> 00:28:41]  It's kind of like, you're my
[00:28:41 -> 00:28:42]  servant, in a way.
[00:28:52 -> 00:28:54]  Damn it, that's true. Okay.
[00:28:57 -> 00:28:58]  Okay.
[00:28:58 -> 00:29:00]  Let's go. I'm Mr. Moneybags now.
[00:29:14 -> 00:29:16]  Oh, we should have,
[00:29:16 -> 00:29:18]  we should have placed an order for the Zeppelin.
[00:29:18 -> 00:29:20]  I totally forgot. Okay, we'll do that when we come back.
[00:29:20 -> 00:29:20]  When we get back.
[00:29:36 -> 00:29:38]  Financial crimes unit.
[00:30:01 -> 00:30:41]  We have, we have, uh, we have enough.
[00:30:44 -> 00:30:44]  We have enough.
[00:30:45 -> 00:30:46]  I don't answer to you.
[00:30:54 -> 00:30:55]  We have a pool,
[00:30:55 -> 00:30:57]  uh, we have, like, we have pretty much
[00:30:57 -> 00:30:59]  the most gold I've ever seen in my entire
[00:30:59 -> 00:31:03]  life. What? What?
[00:31:03 -> 00:31:05]  I don't have to answer to you anymore, okay? I'm, I'm a, I'm a,
[00:31:05 -> 00:31:06]  I'm my own man.
[00:31:27 -> 00:31:29]  We withdrew, uh,
[00:31:29 -> 00:31:31]  a sizable portion, and we could
[00:31:31 -> 00:31:33]  use some help in paying off the loan.
[00:31:33 -> 00:31:35]  We withdrew about 2,000 gold,
[00:31:35 -> 00:31:37]  so, um,
[00:31:37 -> 00:31:39]  it's, it's a little, it's a little tough out there.
[00:31:43 -> 00:31:43]  But,
[00:31:43 -> 00:31:55]  you should believe it, because I've, I've
